"","Project","Site","Collection_no","Phytotron_ID..Ap_GXL.","Species..varying.ID.sources...Bernice.if.different.from.original.ID.","Locale","State","Extractor","DNA.extracted","RAD_lane","Barcode_well","Qubit.quantification..ng.ul.","Total.amt..ng.","Box","order"
"188","Phyt","GSMNP","5","05-D","picea","Great Smoky Mountains National Park","TN","SHC","","ddRAD2","A3",NA,NA,"",NA
"191","Phyt","HF","1","19-A","picea","Harvard Forest","MA","SHC","8/7/14","ddRAD3","D8",12.3,430.5,"1",1
"200","Pop genomics","HSP","5","","picea","Hickory Run State Park","PA","SHC","7/10/14","ddRAD1","D8",NA,NA,"",NA
"201","Phyt","HSP","6","13-A","picea","Hickory Run State Park","PA","SHC","7/7/14","ddRAD1","A2",NA,NA,"",NA
"202","Phyt","HSP","7","13-B","picea","Hickory Run State Park","PA","","","ddRAD3","C3",NA,NA,"EtOH",9
"207","Phyt","HSP","12","13-D","picea","White Haven","PA","SHC","8/30/14","ddRAD3","D9",10.9,381.5,"1",41
"208","Phyt","HW","1","02-A","rudis","Hitchcock Woods","SC","","","ddRAD3","A5",NA,NA,"Frozen",31
"213","Phyt","HW","7","02-C","rudis","Hitchcock Woods","SC","SHC","","ddRAD2","A2",NA,NA,"",NA
"217","Phyt","IJAMS","1","08-D","rudis","Ijams Nature Center","TN","","","ddRAD3","A2",NA,NA,"Frozen",60
"221","Phyt","Ijams","6","08-A","rudis","Ijams Nature Center","TN","","","ddRAD3","A11",NA,NA,"Frozen",37
"224","Phyt","KBH","1","27-B","picea","Kennebec Highlands","ME","","","ddRAD3","C9",NA,NA,"EtOH",86
"227","Phyt","KBH","4","27-A","picea","Kennebec Highlands","ME","","","ddRAD3","B12",NA,NA,"EtOH",6
"230","Pop genomics","KBH","8","","picea","Kennebec Highlands","ME","","","ddRAD8","C5",NA,NA,"Frozen",51
"234","ANBE","KH","4","","ashmeadi","Key Heights","FL","","","ddRAD6","A2",NA,NA,"Frozen",24
"235","ANBE","KH","5","","ashmeadi","Key Heights","FL","Skye L","11/21/14","ddRAD5","D1",26.6,931,"2",8
"239","ANBE","Kite","1","","rudis","Kite","GA","Skye L","11/13/14","ddRAD5","B12",10.8,378,"1",96
"240","ANBE","Kite","2","","fulva","Kite","GA","Skye L","11/21/14","ddRAD4","A2",24,840,"2",9
"242","ANBE","Kite","4","","fulva","Kite","GA","","","ddRAD7","C7",NA,NA,"Frozen",8
"243","ANBE","Kite","5","","rudis","Kite","GA","SHC","9/7/14","ddRAD5","D6",52,1820,"1",50
"244","ANBE","Kite","8","","fulva","Kite","GA","","","ddRAD7","C4",NA,NA,"Frozen",15
"248","ANBE","Lex","11","","rudis","Lexington","VA","Skye L","11/13/14","ddRAD4","B12",13,455,"1",92
"250","ANBE","Lex-SHC","4","","rudis","Lexington","VA","","","ddRAD7","A7",NA,NA,"Frozen",6
"253","ANBE","LPR","2","","ashmeadi","Longleaf Flatwoods Reserve","FL","SHC","9/7/14","ddRAD4","A7",21.5,752.5,"1",51
"254","ANBE","LPR","4","","ashmeadi","Longleaf Flatwoods Reserve","FL","SHC","10/2/14","","",27.7,969.5,"1",61
"255","Pop genomics","LVA","1","","fulva","Lynchburg (Black Water Creek park)","VA","SHC","8/28/14","ddRAD5","A5",9.89,346.15,"1",25
"256","ANBE","LVA","2","","rudis","Lynchburg","VA","SHC","9/7/14","ddRAD5","B6",9.26,324.1,"1",48
"257","Pop genomics","LVA","3","","rudis","Lynchburg (Black Water Creek park)","VA","SHC","8/28/14","ddRAD5","B4",8.27,289.45,"1",16
"262","Phyt","LVA","9","10-F","rudis","Lynchburg","VA","SHC","9/7/14","ddRAD3","D12",18.7,654.5,"1",46
"264","Phyt","LVA","11","10-C","fulva","Lynchburg","VA","","","ddRAD3","B1",NA,NA,"Frozen",39
"265","Phyt","LVA","12","10-B","rudis","Lynchburg","VA","SHC","8/30/14","ddRAD8","A10",8.32,291.2,"1",42
"266","Pop genomics","LVA","13","","rudis","Lynchburg (Black Water Creek park)","VA","SHC","8/28/14","ddRAD4","B6",8.62,301.7,"1",30
"267","ANBE","MA","","","rudis","Mike's house","OH","","","ddRAD7","C6",NA,NA,"Frozen",2
"272","Phyt","MB","1","26-A","picea","Molly Bog, Stowe","VT","","","ddRAD3","C7",NA,NA,"Frozen",46
"273","Phyt","MB","2","26-D","picea","Molly Bog, Stowe","VT","","","ddRAD3","C8",NA,NA,"Frozen",45
"274","Phyt","MB","4","26-C","picea","Molly Bog, Stowe","VT","SHC","9/7/14","ddRAD8","A11",11.2,392,"1",45
"275","Phyt","MB","6","26-E","picea","Molly Bog","VT","SHC","7/7/14","ddRAD1","A4",NA,NA,"",NA
"278","Phyt","MM","1","23-A","picea","Silver Lake","NH","","","ddRAD3","B10",NA,NA,"EtOH",4
"279","Phyt","MM","2","23-B","picea","Silver Lake","NH","SHC","8/30/14","ddRAD8","B10",11.6,406,"1",37
"280","Phyt","MM","4","23-C","picea","Silver Lake","NH","SHC","8/30/14","ddRAD8","B11",12.8,448,"1",36
"301","Pop genomics","NSP","2","","picea","Neshamany State Park","PA","SHC","8/6/14","ddRAD2","C12",NA,NA,"",NA
"302","Pop genomics","NSP","3","","rudis","Neshamany State Park","PA","SHC","8/5/14","ddRAD2","A7",NA,NA,"",NA
"306","Pop genomics","NSP","7","","fulva","Neshamany State Park","PA","SHC","8/5/14","ddRAD2","A12",NA,NA,"",NA
"321","ANBE","Pop","1","","picea","PopPop","PA","SHC","9/7/14","ddRAD4","D7",10.5,367.5,"1",54
"322","ANBE","Pop","2","","picea","PopPop","PA","Skye L","10/2/14","ddRAD4","A8",19.1,668.5,"1",59
"323","ANBE","Pop","3","","rudis","PopPop","PA","SHC","10/2/14","ddRAD4","B8",16.8,588,"1",60
"324","Pop genomics","RC","2","","fulva","Raleigh Chambers","NC","SHC","8/28/14","ddRAD5","D5",10.4,364,"1",28
"325","Pop genomics","RC","6","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD5","A6",4.8,168,"1",24
"326","Pop genomics","RC","9","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD4","C5",11.8,413,"1",22
"327","Pop genomics","RC","11","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD4","A5",7.82,273.7,"1",19
"328","Phyt","RC","12","09-A","rudis","Raleigh Chambers, Duke forest","NC","","","ddRAD3","A12",NA,NA,"Frozen",38
"329","Pop genomics","RC","13","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD4","B5",5.89,206.15,"1",21
